SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
5622,90,2023-06-24,Presidential,"District Results",Kailahun,,Jonathan,Sandy,NURP,d39b47,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/jonathan-sandy-photo.jpg,88d0d69e-7fb9-4418-aad4-dc2229f25f67,72e39d90-0324-4936-bf38-2ea5f0f1cc91,Patrick,"Jonathan Patrick Sandy"
5670,4749,2023-06-24,Presidential,"District Results",Kailahun,,Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,31500636-1ade-4384-bcf3-1e65c6b491be,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
7269,6222,2023-06-24,Presidential,"District Results",Bo,,Iye,Kakay,ADP,ff339f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/iye-kakay-adp.jpg,ef02d4ad-6ecd-4751-8e03-808314613ea3,cd5ae8b2-bc15-4652-9633-4a5d6da1d1dd,,"Iye Kakay"
4762,82,2023-06-24,Presidential,"Regional Results",,East,Mohamed,Sowa-Turay,UDM,9900cc,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-turay-sowa.png,7d045220-bdbc-48ed-980a-7bf83748f010,64c012ca-e6f3-4f66-aab2-49d8ff1c8181,,"Mohamed Sowa-Turay"
5600,90,2023-06-24,Presidential,"Regional Results",,North,Jonathan,Sandy,NURP,d39b47,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/jonathan-sandy-photo.jpg,5d8b2828-29de-4ce0-bee2-dd88fd09733a,72e39d90-0324-4936-bf38-2ea5f0f1cc91,Patrick,"Jonathan Patrick Sandy"
2402,32,2023-06-24,Presidential,"District Results",Pujehun,,Julius,Bio,SLPP,009900,"First Round",0,0.00,No,Final/Certified,/sites/default/files/2023-04/julius-maada-bio.jpg,22fb5976-fc96-467c-9e7e-f4401001f7f0,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
4834,82,2023-06-24,Presidential,"District Results",Bonthe,,Mohamed,Sowa-Turay,UDM,9900cc,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-turay-sowa.png,198771fb-96dc-4399-8ca5-8ffb83d47c12,64c012ca-e6f3-4f66-aab2-49d8ff1c8181,,"Mohamed Sowa-Turay"
5554,4736,2023-06-24,Presidential,"District Results",Bonthe,,Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,8ecd69ed-5042-4772-8128-da3b2f8724ac,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
5636,90,2023-06-24,Presidential,"District Results",Bonthe,,Jonathan,Sandy,NURP,d39b47,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/jonathan-sandy-photo.jpg,968c7cf3-e447-44bf-9637-242a77459341,72e39d90-0324-4936-bf38-2ea5f0f1cc91,Patrick,"Jonathan Patrick Sandy"
5688,4749,2023-06-24,Presidential,"District Results",Moyamba,,Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,89ec98b3-a145-434d-9c8e-607249bdb365,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
7280,6222,2023-06-24,Presidential,"District Results","Port Loko",,Iye,Kakay,ADP,ff339f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/iye-kakay-adp.jpg,3a4bf38b-39d6-49c6-bd00-23672908cbaa,cd5ae8b2-bc15-4652-9633-4a5d6da1d1dd,,"Iye Kakay"
4777,4749,2023-06-24,Presidential,"Regional Results",,"Western Urban",Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,d65a565c-06e3-4246-b20a-192d9ebee276,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
6231,85,2023-06-24,Presidential,"Regional Results",,"Western Rural",Charles,Margai,PMDC,f3881e,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/charles-francis-margai.jpg,fd96592e-af69-4c9a-9ecb-fdeb34d81610,54b03b01-ae07-4638-aba4-6044068d2d15,"Francis Kondo","Charles Francis Kondo Margai"
2381,33,2023-06-24,Presidential,"District Results",Bombali,,Samura,Kamara,APC,FF333C,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,dd382965-de73-46f2-8657-118aa2532303,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
4813,81,2023-06-24,Presidential,"District Results",Tonkolili,,Mohamed,Bah,NDA,1F681B,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-c-bah.jpg,c25f8c61-5c60-4c5d-ab9a-6605969c3c77,d9887f21-50b5-4b93-b532-ce61e2fc7797,C,"Mohamed C Bah"
5502,4738,2023-06-24,Presidential,"District Results",Tonkolili,,Nabieu,Kamara,PLP,3e59a9,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/nabieu-osman-kamara-plp.jpg,5ac7a8ae-46e8-4df7-b8ae-184408cdaf75,fc24f6b1-cc6b-4eab-bf64-91efca657c51,Musa,"Nabieu Musa Kamara"
5581,89,2023-06-24,Presidential,"District Results",Tonkolili,,Beresford,Williams,ReNIP,0d3ac8,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/beresford-victor-williams-photo.jpg,2ea000f8-150f-43cc-a875-924c2a46ef90,c14d929e-81d3-4220-845d-ef2180ec5590,Victor,"Beresford Victor Williams"
5651,5466,2023-06-24,Presidential,"District Results",Tonkolili,,Mohamed,Jonjo,CDP,f1c40f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/mohamed-jonjo-cdp.jpg,fff15365-f9e4-4d23-82b1-32e6561db70e,5815cde8-37f1-4fad-bafb-f245a53721bb,,"Mohamed Jonjo"
7258,85,2023-06-24,Presidential,"District Results",Karene,,Charles,Margai,PMDC,f3881e,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/charles-francis-margai.jpg,14e3d2af-4e19-48ff-880e-f7ea649c5a0b,54b03b01-ae07-4638-aba4-6044068d2d15,"Francis Kondo","Charles Francis Kondo Margai"
7291,88,2023-06-24,Presidential,"District Results",Karene,,Saa,Kabuta,UNPP,cccc00,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/saa-heny-kabuta.jpg,3a0b3c27-54be-4a3e-bb09-cc005781d3ff,8993d0bb-b02c-4de3-a130-2a5ef195670a,Henry,"Saa Henry Kabuta"
5529,4749,2023-06-24,Presidential,"National Results",,,Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,aaf00c62-8a91-4c11-b850-a1fc74be0ddf,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
2368,32,2023-06-24,Presidential,"Regional Results",,South,Julius,Bio,SLPP,009900,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/julius-maada-bio.jpg,3e139598-5083-4860-bfc8-32f91924a2f4,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
4798,4736,2023-06-24,Presidential,"Regional Results",,"Western Rural",Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,0f31b174-40ab-4b7d-bb44-94ba3bd1ac13,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
7231,88,2023-06-24,Presidential,"Regional Results",,South,Saa,Kabuta,UNPP,cccc00,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/saa-heny-kabuta.jpg,c2a91882-6ace-4794-bd5f-a80f19dec60e,8993d0bb-b02c-4de3-a130-2a5ef195670a,Henry,"Saa Henry Kabuta"
2392,32,2023-06-24,Presidential,"District Results",Karene,,Julius,Bio,SLPP,009900,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/julius-maada-bio.jpg,8c050419-18ec-484c-b323-c8ce5e4b5ece,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
4824,82,2023-06-24,Presidential,"District Results",Kenema,,Mohamed,Sowa-Turay,UDM,9900cc,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-turay-sowa.png,c2d4d6a7-237d-4304-a4ef-845cdbd91805,64c012ca-e6f3-4f66-aab2-49d8ff1c8181,,"Mohamed Sowa-Turay"
5537,4736,2023-06-24,Presidential,"District Results",Kenema,,Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,9183bdfe-3781-43eb-90c9-492d1c631093,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
