SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,CandidateOtherNames,CandidateFullname,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidatePoliticalPartyID,CandidatePoliticalPartyLongName,CandidatePoliticalPartyLogo
1983,78,3/7/18,Presidential,District Results,Kono,,Mansaray,Mohamed,ADP,ff339f,First Round,867,0.62,No,Final/Certified,/sites/default/files/2023-04/mohamed-kamaraimba-mansaray.jpg,Kamarainba,Mohamed Kamarainba Mansaray,9d17966f-4c8a-4cd1-b688-7c1d4e088f43,9234ea5a-9a3b-4f19-bfdb-d4958d49ec32,23,Alliance Democratic Party,/sites/default/files/party-logos/adp-party.jpg
9114,94,11/17/12,Presidential,Regional Results,,West,Kamara,Gibrilla,PDP,1E90FF,First Round,857,0.15,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Gibrilla Kamara,9ff9f84e-ee3e-4378-b90d-a972c56c7201,10252505-b9fb-404c-a771-0e9f09e989c5,682,People's Democratic Party,/sites/default/files/party-logos/pdp-party.jpg
1511,40,2/27/96,Presidential,District Results,Bonthe,,Karimu,John,NUP,A9A9A9,First Round,854,5.22,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,John Karimu,75159c42-5ec2-49ec-9f91-f4f313317607,06a94065-3c97-40f6-8c5b-1ba0ee174108,681,National Unity Party,/sites/default/files/party-logos/default-party-symbol.jpg
1896,79,3/7/18,Presidential,District Results,Western Area Rural,,Ngobeh,Gbandi,RUFP,996633,First Round,852,0.38,No,Final/Certified,/sites/default/files/2023-04/gbandi-jemba-ngobeh.jpg,Jemba,Gbandi Jemba Ngobeh,1234bd16-7ec5-4fa4-b410-8c50f2469822,3a85a1bd-e8f1-49c8-aaad-db967b8c4c23,24,Revolutionary United Front Party,/sites/default/files/party-logos/rufp-party.jpg
1949,84,3/7/18,Presidential,District Results,Kailahun,,Sam-Sumana,Samuel,C4C,d68910,First Round,850,0.63,No,Final/Certified,/sites/default/files/2023-04/mohamed-c-bah.jpg,,Samuel Sam-Sumana,12959d1c-11ab-4744-8ec5-4dc1eb73ae45,3d1fc2e0-18bd-4127-9b06-6ac93cb32a37,21,Coalition for Change,/sites/default/files/party-logos/c4c-logo.jpeg
9239,85,11/17/12,Presidential,District Results,Kono,,Margai,Charles,PMDC,f3881e,First Round,850,0.74,No,Final/Certified,/sites/default/files/2023-04/samuel-sam-sumana.jpg,Francis Kondo,Charles Francis Kondo Margai,1421cda4-ae8a-4a79-8c7e-4802f64c6057,54b03b01-ae07-4638-aba4-6044068d2d15,26,Peoples Movement for Democratic Change,/sites/default/files/party-logos/pmdc-party.jpg
1791,81,3/7/18,Presidential,District Results,Western Area Urban,,Bah,Mohamed,NDA,1F681B,First Round,850,0.17,No,Final/Certified,/sites/default/files/2023-04/charles-francis-margai.jpg,C,Mohamed C Bah,26fbec95-3276-4761-86f7-e10c92f62b02,d9887f21-50b5-4b93-b532-ce61e2fc7797,27,National Democratic Alliance,/sites/default/files/party-logos/nda-party.jpg
2101,5422,3/7/18,Presidential,District Results,Kambia,,Conteh,Kandeh,PLP,3e59a9,First Round,848,0.79,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Baba,Kandeh Baba Conteh,ffccacbc-b060-43ec-8e80-e2962319f312,717ccf9f-c535-4cb1-8a31-4711c118410d,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
1984,79,3/7/18,Presidential,District Results,Kono,,Ngobeh,Gbandi,RUFP,996633,First Round,842,0.6,No,Final/Certified,/sites/default/files/2023-04/gbandi-jemba-ngobeh.jpg,Jemba,Gbandi Jemba Ngobeh,86409601-99d8-42b7-b14f-962bbaa46f4f,3a85a1bd-e8f1-49c8-aaad-db967b8c4c23,24,Revolutionary United Front Party,/sites/default/files/party-logos/rufp-party.jpg
9202,85,11/17/12,Presidential,District Results,Kailahun,,Margai,Charles,PMDC,f3881e,First Round,840,0.72,No,Final/Certified,/sites/default/files/2023-04/charles-francis-margai.jpg,Francis Kondo,Charles Francis Kondo Margai,e8158d2b-9fef-4bef-84d4-c31312e152c3,54b03b01-ae07-4638-aba4-6044068d2d15,26,Peoples Movement for Democratic Change,/sites/default/files/party-logos/pmdc-party.jpg
2102,84,3/7/18,Presidential,District Results,Kambia,,Sam-Sumana,Samuel,C4C,d68910,First Round,839,0.78,No,Final/Certified,/sites/default/files/2023-04/samuel-sam-sumana.jpg,,Samuel Sam-Sumana,d8e191bc-59f9-4960-af11-d2a0c3679e8a,3d1fc2e0-18bd-4127-9b06-6ac93cb32a37,21,Coalition for Change,/sites/default/files/party-logos/c4c-logo.jpeg
9203,92,11/17/12,Presidential,District Results,Kailahun,,Carew,Joshua,CDP,f1c40f,First Round,837,0.72,No,Final/Certified,/sites/default/files/2023-04/joshua-albert-carew.jpeg,Albert,Joshua Albert Carew,2c46729b-0e71-4471-a1af-fdd486c3fa83,c282f65c-7bcd-443a-bfbb-2875072a1d79,25,Citizens Democratic Party,/sites/default/files/party-logos/cdp-party.jpg
9436,86,8/11/07,Presidential,District Results,Kambia,,Conteh,Kandeh,PLP,3e59a9,First Round,833,1.02,No,Final/Certified,/sites/default/files/2023-04/dr-baba-kandeh.jpg,Baba,Kandeh  Baba Conteh,e0a8a1ba-1772-4220-9c73-c52e2ca3fc25,b05244f0-98f8-4680-b781-4c75d6a2c830,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
9621,319,5/14/02,Presidential,District Results,Bo,,Bangura,Alimamy,RUFP,996633,First Round,831,0.33,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Pallo,Alimamy Pallo Bangura,b42e5f79-aca5-4f9f-b26f-8cbf94916dd5,881629bf-f8b2-4a83-877a-0ab7540d3d49,24,Revolutionary United Front Party,/sites/default/files/party-logos/rufp-party.jpg
812,44,2/27/96,Presidential,Regional Results,,West,Lungay,Andrew,SDP,2F4F4F,First Round,827,0.37,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Andrew Lungay,95bb6f26-8288-4dfa-b489-1d49c56147c4,77b66500-c1a3-4d20-a9b6-151894bb215a,685,Social Democratic Party,/sites/default/files/party-logos/default-party-symbol.jpg
1793,80,3/7/18,Presidential,District Results,Western Area Urban,,Tarawally,Musa,CDP,f1c40f,First Round,821,0.16,No,Final/Certified,/sites/default/files/2023-04/musa-tarawally.jpg,,Musa Tarawally,ffc71ada-0bf6-4ae0-a8c0-a8445ce94634,4508f9b7-9aa8-4e52-a52a-db72ce93dc9e,25,Citizens Democratic Party,/sites/default/files/party-logos/cdp-party.jpg
1918,81,3/7/18,Presidential,District Results,Port Loko,,Bah,Mohamed,NDA,1F681B,First Round,819,0.47,No,Final/Certified,/sites/default/files/2023-04/mohamed-c-bah.jpg,C,Mohamed C Bah,125672e9-a10e-4170-b87b-f2a1a2199b51,d9887f21-50b5-4b93-b532-ce61e2fc7797,27,National Democratic Alliance,/sites/default/files/party-logos/nda-party.jpg
9504,323,5/14/02,Presidential,Regional Results,,West,Turay,Andrew,YPP,D3D3D3,First Round,815,0.27,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Duramany,Andrew Duramany Turay,b93bb331-393b-4186-9fea-3686ebd15b10,c3dbfff3-7dd0-43e9-9881-002798edbeeb,719,Young People's Party,/sites/default/files/party-logos/default-party-symbol.jpg
9622,318,5/14/02,Presidential,District Results,Bo,,Koroma,Johnny,PLP,3e59a9,First Round,813,0.32,No,Final/Certified,/sites/default/files/2023-04/johnny-paul-koroma.jpg,Paul,Johnny Paul Koroma,caf32fef-def6-4393-ad2e-cd8056346b28,0a328bf4-b30d-44ca-9bc7-f4d14dfb7900,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
1665,87,3/7/18,Presidential,Regional Results,,North West,Cole,Femi,UP,99ccff,First Round,812,0.22,No,Final/Certified,/sites/default/files/2023-04/Femi-Claudius-Cole%20.jpg,Claudius,Femi Claudius Cole,502df560-2efc-4e3a-8bda-7da23fe67746,092005c3-2332-4c48-b3f9-46d0b679b46a,31,Unity Party,/sites/default/files/party-logos/up-party.jpg
799,44,2/27/96,Presidential,Regional Results,,North,Lungay,Andrew,SDP,2F4F4F,First Round,805,0.38,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Andrew Lungay,46814606-d8af-4d59-8f92-d4a10814ecec,77b66500-c1a3-4d20-a9b6-151894bb215a,685,Social Democratic Party,/sites/default/files/party-logos/default-party-symbol.jpg
981,35,2/27/96,Presidential,District Results,Port Loko,,Koroma,Abu,DCP,808080,First Round,802,1.21,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Aiah,Abu Aiah Koroma,f456f1ce-4e81-4d34-979a-1f3fed98db2c,7a8e1aa2-30a6-436f-a004-f3673ba81bc8,677,Democratic Centre Party,/sites/default/files/party-logos/default-party-symbol.jpg
9375,86,8/11/07,Presidential,District Results,Western Area Urban,,Conteh,Kandeh,PLP,3e59a9,First Round,794,0.22,No,Final/Certified,/sites/default/files/2023-04/dr-baba-kandeh.jpg,Baba,Kandeh  Baba Conteh,71429453-2921-43bd-bd36-ee19a509e6aa,b05244f0-98f8-4680-b781-4c75d6a2c830,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
8561,49,2/27/96,Presidential,District Results,Kenema,,Karefa-Smart,John,UNPP,cccc00,First Round,787,1.48,No,Final/Certified,/sites/default/files/2023-04/john-karefa-smart.jpg,,John Karefa-Smart,42e1f3ed-d0a3-4688-832f-90fe5fd8ba3a,91b27537-979d-426c-ba8a-c3abc330b9f4,32,United National People's Party,/sites/default/files/party-logos/unpp-party.jpg
9475,320,5/14/02,Presidential,Regional Results,,East,Kamara,Raymond,GAP,FFA07A,First Round,787,0.16,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Raymond Kamara,09d61b28-dcaa-4340-903e-28e43c8746e2,976c1e2a-1275-4630-899d-75e6b32cf089,716,Grand Alliance Party,/sites/default/files/party-logos/default-party-symbol.jpg
8578,44,2/27/96,Presidential,District Results,Kenema,,Lungay,Andrew,SDP,2F4F4F,First Round,780,1.83,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Andrew Lungay,5059c800-70f6-4887-bec0-02421889c209,77b66500-c1a3-4d20-a9b6-151894bb215a,685,Social Democratic Party,/sites/default/files/party-logos/default-party-symbol.jpg
9596,91,5/14/02,Presidential,District Results,Kailahun,,Koroma,Ernest,APC,FF333C,First Round,777,0.66,No,Final/Certified,/sites/default/files/2023-04/Ernest-Bai-Koroma.jpg,Bai,Ernest Bai Koroma,a44e78f4-93c8-49e8-84cb-56673ad04abe,cda5ea29-d656-48ce-bfe3-33a27c058e4e,19,All Peoples Congress,/sites/default/files/party-logos/apc-party.jpg
2131,84,3/7/18,Presidential,District Results,Falaba,,Sam-Sumana,Samuel,C4C,d68910,First Round,773,1.81,No,Final/Certified,/sites/default/files/2023-04/samuel-sam-sumana.jpg,,Samuel Sam-Sumana,8dd397b9-9c59-437b-973b-e2bfc35197a5,3d1fc2e0-18bd-4127-9b06-6ac93cb32a37,21,Coalition for Change,/sites/default/files/party-logos/c4c-logo.jpeg
